Table S7: Differential analysis of somatic copy number and gene expression,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hugo_Symbol,Ensembl ID,RefSeq ID,Chromomosme,Strand,Start,End,Cytoband,CRPC-Adeno mean expression,CRPC-NE mean expression,VALID,# CRPC-NE neutral,# CRPC-NE deleted,# CRPC-NE amplified,# CRPC-Adeno neutral,# CRPC-Adeno deleted,# CRPC-Adeno amplified,P-val expression,P-val deletion,P-val amplification,FDR expression,FDR deletion,FDR amplification,% CRPC-NE deletion,% CRPC-Adeno deletion,% CRPC-NE amplification,% CRPC-Adeno amplification,Is cancer gene
NUP93,ENSG00000102900.8,NM_014669.4,16,F,56764016,56878797,q13,2.931087907,1.727548008,TRUE,19,20,4,35,6,12,2.76E-08,0.000286256,0.141945986,1.95E-05,0.042043726,1,0.465116279,0.113207547,0.093023256,0.226415094,TRUE
PAX8,ENSG00000125618.12,,2,R,113973573,114036527,q13,0.655808969,0.329134793,TRUE,20,11,12,38,0,15,0.009695328,0.000329453,1,0.040579192,0.042043726,1,0.255813953,0,0.279069767,0.283018868,TRUE
SOCS1,ENSG00000185338.4,NM_003745.1,16,R,11348261,11350036,p13.13,1.295973997,1.146375668,TRUE,18,11,14,28,0,25,0.349300153,0.000329453,0.214746367,0.498771783,0.042043726,1,0.255813953,0,0.325581395,0.471698113,TRUE
TNFRSF17,ENSG00000048462.6,NM_001192.2,16,F,12058963,12061925,p13.13,0.727966458,0.5225572,TRUE,18,10,15,30,0,23,0.069769961,0.000742598,0.523292119,0.16075479,0.042043726,1,0.23255814,0,0.348837209,0.433962264,TRUE
ZFHX3,ENSG00000140836.10,NM_006885.3,16,R,72816783,73093597,q22.3,2.588476701,1.85798442,TRUE,15,25,3,35,12,6,0.121766038,0.000829127,0.708352321,0.23860375,0.045185433,1,0.581395349,0.226415094,0.069767442,0.113207547,TRUE
ALAS1,ENSG00000023330.10,NM_199166.2,3,F,52232101,52248343,p21.2,3.885160834,3.375558721,TRUE,20,9,14,32,0,21,0.023568605,0.001651876,0.615716921,0.075002485,0.048133088,1,0.209302326,0,0.325581395,0.396226415,TRUE
BAP1,ENSG00000163930.5,,3,R,52435028,52444366,p21.1,3.562058063,3.301681544,TRUE,21,9,13,32,0,21,0.014383991,0.001651876,0.458053865,0.053245952,0.048133088,1,0.209302326,0,0.302325581,0.396226415,TRUE
CCND1,ENSG00000110092.3,NM_053056.2,11,F,69455854,69469242,q13.3,4.447709691,2.477019083,TRUE,18,9,16,26,0,27,7.22E-05,0.001651876,0.254579068,0.001569929,0.048133088,1,0.209302326,0,0.372093023,0.509433962,TRUE
CSDE1,ENSG00000009307.11,NM_001242893.1,1,R,115259533,115301297,p13.2,5.749312865,5.1076645,TRUE,23,9,11,33,0,20,0.001920467,0.001651876,0.295083201,0.013417952,0.048133088,1,0.209302326,0,0.255813953,0.377358491,TRUE
DICER1,ENSG00000100697.10,NM_177438.2,14,R,95552564,95624347,q32.13,3.605439887,2.604885451,TRUE,17,9,17,31,0,22,0.000312447,0.001651876,1,0.004044167,0.048133088,1,0.209302326,0,0.395348837,0.41509434,TRUE
FHIT,ENSG00000189283.5,,3,R,59735035,61237133,p14.2,1.098509955,0.620573353,TRUE,22,9,12,29,0,24,0.000312447,0.001651876,0.124343619,0.004044167,0.048133088,1,0.209302326,0,0.279069767,0.452830189,TRUE
GSTP1,ENSG00000084207.11,,11,F,67351065,67354131,q13.2,3.869317613,2.648559636,TRUE,18,9,16,24,0,29,0.011083945,0.001651876,0.132642552,0.044157081,0.048133088,1,0.209302326,0,0.372093023,0.547169811,TRUE
MYH9,ENSG00000100345.16,NM_002473.4,22,R,36677326,36784063,q12.3,6.245516959,5.430279927,TRUE,21,14,8,31,3,19,0.00496461,0.001554711,0.100901337,0.025654981,0.048133088,1,0.325581395,0.056603774,0.186046512,0.358490566,TRUE
NRAS,ENSG00000213281.4,NM_002524.4,1,R,115247089,115259515,p13.2,2.95952872,2.654408059,TRUE,23,9,11,33,0,20,0.214859428,0.001651876,0.295083201,0.355737064,0.048133088,1,0.209302326,0,0.255813953,0.377358491,TRUE
PBRM1,ENSG00000163939.14,,3,R,52579367,52719933,p21.1,2.988549039,2.746107011,TRUE,21,9,13,32,0,21,0.084633301,0.001651876,0.458053865,0.183889211,0.048133088,1,0.209302326,0,0.302325581,0.396226415,TRUE
RBBP6,ENSG00000122257.14,NM_006910.4,16,F,24549013,24584184,p12.1,3.030440691,2.803940248,TRUE,20,9,14,32,0,21,0.011840572,0.001651876,0.615716921,0.046260896,0.048133088,1,0.209302326,0,0.325581395,0.396226415,TRUE
TRAF7,ENSG00000131653.8,NM_032271.2,16,F,2205698,2228130,p13.3,4.013184072,3.661565353,TRUE,19,9,15,25,0,28,0.022098259,0.001651876,0.120656429,0.07208533,0.048133088,1,0.209302326,0,0.348837209,0.528301887,TRUE
TRIM33,ENSG00000197323.6,NM_015906.3,1,R,114935398,115053781,p13.2,2.922920478,2.376444875,TRUE,23,9,11,33,0,20,0.001236499,0.001651876,0.295083201,0.009977464,0.048133088,1,0.209302326,0,0.255813953,0.377358491,TRUE
ACVR1B,ENSG00000135503.8,NM_004302.4,12,F,52345450,52390862,q13.13,2.701594533,2.302664963,TRUE,21,8,14,32,0,21,0.048839558,0.003631991,0.615716921,0.125070023,0.066851794,1,0.186046512,0,0.325581395,0.396226415,TRUE
ATP1A1,ENSG00000163399.11,NM_000701.7,1,F,116915289,116952883,p13.1,5.327698796,5.103214291,TRUE,23,8,12,32,0,21,0.204414119,0.003631991,0.324240724,0.345723328,0.066851794,1,0.186046512,0,0.279069767,0.396226415,TRUE
AXIN1,ENSG00000103126.10,NM_003502.3,16,R,337439,402673,p13.3,2.470634592,2.15347202,TRUE,19,10,14,26,1,26,0.004123089,0.003212816,0.154918198,0.022324987,0.066851794,1,0.23255814,0.018867925,0.325581395,0.490566038,TRUE
CBFB,ENSG00000067955.9,NM_001755.2,16,F,67063018,67134961,q22.1,3.100189413,3.217957745,TRUE,19,16,8,37,5,11,0.445484701,0.00248326,0.995718664,0.592785329,0.066851794,1,0.372093023,0.094339623,0.186046512,0.20754717,TRUE
CECR5,ENSG00000069998.8,NM_017829.5,22,R,17618400,17646177,q11.1,2.402310526,2.494814471,TRUE,25,10,8,35,1,17,0.598928642,0.003212816,0.207048457,0.725293742,0.066851794,1,0.23255814,0.018867925,0.186046512,0.320754717,TRUE
COL1A1,ENSG00000108821.9,NM_000088.3,17,R,48260649,48278993,q21.33,5.886013606,5.433592667,TRUE,22,8,13,33,0,20,0.536398971,0.003631991,0.57981315,0.676423312,0.066851794,1,0.186046512,0,0.302325581,0.377358491,TRUE
ELF3,ENSG00000163435.11,,1,F,201977072,201986316,q32.1,3.62244138,3.880055875,TRUE,15,8,20,21,0,32,0.338257629,0.003631991,0.250173976,0.487651758,0.066851794,1,0.186046512,0,0.465116279,0.603773585,TRUE
FAM46C,ENSG00000183508.4,NM_017709.3,1,F,118148555,118170994,p12,2.685044883,1.185271816,TRUE,20,10,13,30,1,22,0.000124551,0.003212816,0.353227089,0.002259142,0.066851794,1,0.23255814,0.018867925,0.302325581,0.41509434,TRUE
IFT140,ENSG00000187535.9,,16,R,1560427,1662111,p13.3,1.806879884,2.236530569,TRUE,19,10,14,26,1,26,0.010369511,0.003212816,0.154918198,0.042384682,0.066851794,1,0.23255814,0.018867925,0.325581395,0.490566038,TRUE
NAALADL1,ENSG00000168060.10,,11,R,64812289,64826021,q13.1,0.476710864,1.019973546,TRUE,19,10,14,28,1,24,0.022201085,0.003212816,0.290069484,0.07208533,0.066851794,1,0.23255814,0.018867925,0.325581395,0.452830189,TRUE
NOTCH2,ENSG00000134250.13,NM_024408.3,1,R,120454175,120612240,p11.2,3.731484895,1.752896177,TRUE,21,8,14,29,0,24,4.62E-06,0.003631991,0.290069484,0.000286476,0.066851794,1,0.186046512,0,0.325581395,0.452830189,TRUE
PALB2,ENSG00000083093.5,NM_024675.3,16,R,23614487,23652631,p12.2,1.456166119,1.371834429,TRUE,21,8,14,30,0,23,0.540512957,0.003631991,0.382032515,0.676423312,0.066851794,1,0.186046512,0,0.325581395,0.433962264,TRUE
PDGFB,ENSG00000100311.12,NM_002608.2,22,R,39619363,39640756,q13.1,2.128398468,1.68235181,TRUE,23,13,7,34,3,16,0.076916468,0.003312272,0.17785759,0.172479627,0.066851794,1,0.302325581,0.056603774,0.162790698,0.301886792,TRUE
PLK1,ENSG00000166851.10,NM_005030.3,16,F,23688976,23701688,p12.2,1.559455539,2.443720812,TRUE,21,8,14,30,0,23,0.002595767,0.003631991,0.382032515,0.016457733,0.066851794,1,0.186046512,0,0.325581395,0.433962264,TRUE
RBFOX2,ENSG00000100320.18,,22,R,36134782,36424473,q12.3,2.524344239,3.219144546,TRUE,21,13,9,31,3,19,0.000283145,0.003312272,0.169612515,0.003767409,0.066851794,1,0.302325581,0.056603774,0.209302326,0.358490566,TRUE
SCN8A,ENSG00000196876.9,NM_001177984.2,12,F,51984049,52206648,q13.13,0.597495465,2.049122086,TRUE,21,8,14,33,0,20,4.47E-06,0.003631991,0.754345346,0.000286476,0.066851794,1,0.186046512,0,0.325581395,0.377358491,TRUE
USP31,ENSG00000103404.10,NM_020718.3,16,R,23072726,23160591,p12.2,1.797258314,1.570422551,TRUE,21,8,14,30,0,23,0.156948267,0.003631991,0.382032515,0.285602016,0.066851794,1,0.186046512,0,0.325581395,0.433962264,TRUE
AP1B1,ENSG00000100280.12,NM_001166019.1,22,R,29723668,29819168,q12.2,3.905883225,3.167327982,TRUE,21,12,10,34,3,16,2.53E-05,0.006879146,0.596666201,0.000831323,0.069186455,1,0.279069767,0.056603774,0.23255814,0.301886792,TRUE
ARID5B,ENSG00000150347.10,NM_032199.2,10,F,63661058,63856703,q21.2,3.087448518,1.843547694,TRUE,23,11,9,31,2,20,9.86E-05,0.005024986,0.118804651,0.001968385,0.069186455,1,0.255813953,0.037735849,0.209302326,0.377358491,TRUE
BAZ2A,ENSG00000076108.7,,12,R,56989379,57030600,q13.3,3.753609016,3.41443557,TRUE,23,7,13,32,0,21,0.005953263,0.007908239,0.458053865,0.02890348,0.069186455,1,0.162790698,0,0.302325581,0.396226415,TRUE
BCR,ENSG00000186716.15,NM_004327.3,22,F,23521890,23660224,q11.23,2.295650614,2.285937257,TRUE,26,9,8,34,1,18,0.772127663,0.006903192,0.146252469,0.853845928,0.069186455,1,0.209302326,0.018867925,0.186046512,0.339622642,TRUE
CACNA1H,ENSG00000196557.6,NM_021098.2,16,F,1203240,1271771,p13.3,2.577396068,1.995812322,TRUE,19,9,15,26,1,26,0.327436694,0.006903192,0.234610955,0.476711147,0.069186455,1,0.209302326,0.018867925,0.348837209,0.490566038,TRUE
CALCA,ENSG00000110680.8,NM_001741.2,11,R,14988213,14993900,p15.2,0.283083575,5.07806808,TRUE,19,9,15,31,1,21,0.000283145,0.006903192,0.791036745,0.003767409,0.069186455,1,0.209302326,0.018867925,0.348837209,0.396226415,TRUE
CCK,ENSG00000187094.7,,3,R,42299316,42307699,p22.1,0.20705717,0.24877776,TRUE,24,7,12,30,0,23,0.011083945,0.007908239,0.175492058,0.044157081,0.069186455,1,0.162790698,0,0.279069767,0.433962264,TRUE
CDH11,ENSG00000140937.9,NM_001797.2,16,R,64977655,65160015,q21,1.564876553,1.051272377,TRUE,20,17,6,36,7,10,0.029772568,0.006422313,0.713510342,0.088679188,0.069186455,1,0.395348837,0.132075472,0.139534884,0.188679245,TRUE
CDK4,ENSG00000135446.12,NM_000075.3,12,R,58141509,58149796,q14.1,4.104700891,4.031496479,TRUE,22,7,14,28,0,25,0.644490673,0.007908239,0.214746367,0.761896492,0.069186455,1,0.162790698,0,0.325581395,0.471698113,TRUE
CTNNB1,ENSG00000168036.12,NM_001904.3,3,F,41236327,41301587,p22.1,5.270108108,4.521585343,TRUE,24,7,12,32,0,21,0.000504544,0.007908239,0.324240724,0.005561966,0.069186455,1,0.162790698,0,0.279069767,0.396226415,TRUE
DDIT3,ENSG00000175197.6,NM_001195057.1,12,R,57910370,57914300,q13.3,3.864151189,3.848846065,TRUE,22,7,14,29,0,24,0.82181538,0.007908239,0.290069484,0.887590465,0.069186455,1,0.162790698,0,0.325581395,0.452830189,TRUE
DDX59,ENSG00000118197.9,NM_001031725.4,1,R,200593023,200639097,q32.1,1.88814608,1.705082809,TRUE,18,7,18,22,0,31,0.043910492,0.007908239,0.156888904,0.116136353,0.069186455,1,0.162790698,0,0.418604651,0.58490566,TRUE
ELK4,ENSG00000158711.9,NM_021795.2,1,R,205577070,205601090,q32.1,3.561204712,2.405854195,TRUE,15,7,21,21,0,32,1.35E-05,0.007908239,0.355311534,0.00055749,0.069186455,1,0.162790698,0,0.488372093,0.603773585,TRUE
EWSR1,ENSG00000182944.13,,22,F,29663997,29696515,q12.2,4.19655298,4.211275188,TRUE,21,12,10,35,3,15,0.98269237,0.006879146,0.744128033,0.993606532,0.069186455,1,0.279069767,0.056603774,0.23255814,0.283018868,TRUE
EXT1,ENSG00000182197.6,NM_000127.2,8,R,118806728,119124092,q24.11,1.842204794,1.856379375,TRUE,10,7,26,14,0,39,0.675621368,0.007908239,0.251123787,0.784370479,0.069186455,1,0.162790698,0,0.604651163,0.735849057,TRUE
HMGA2,ENSG00000149948.9,NM_003484.1,12,F,66217910,66360075,q14.3,0.107030954,0.031640047,FALSE,24,7,12,31,0,22,0.02810581,0.007908239,0.241520153,0.085113679,0.069186455,1,0.162790698,0,0.279069767,0.41509434,TRUE
HOXB3,ENSG00000120093.7,NM_002146.4,17,R,46626231,46682274,q21.32,1.161827395,2.405745933,TRUE,21,7,15,30,0,23,0.001465518,0.007908239,0.523292119,0.011167167,0.069186455,1,0.162790698,0,0.348837209,0.433962264,TRUE
HOXC11,ENSG00000123388.4,NM_014212.3,12,F,54366909,54371427,q13.13,0.187231378,0.361889584,FALSE,19,7,17,32,0,21,0.084633301,0.007908239,1,0.183889211,0.069186455,1,0.162790698,0,0.395348837,0.396226415,TRUE
HOXC13,ENSG00000123364.3,NM_017410.2,12,F,54332534,54340328,q13.13,0.180630869,0.253389641,FALSE,19,7,17,31,0,22,0.471645013,0.007908239,1,0.616472465,0.069186455,1,0.162790698,0,0.395348837,0.41509434,TRUE
LRIG3,ENSG00000139263.7,NM_153377.4,12,R,59265930,59314303,q14.1,1.749803477,1.410335506,TRUE,23,7,13,30,0,23,0.111487769,0.007908239,0.265772319,0.224118096,0.069186455,1,0.162790698,0,0.302325581,0.433962264,TRUE
LZTR1,ENSG00000099949.14,NM_006767.3,22,F,21333750,21353327,q11.21,3.106991302,3.18913788,TRUE,26,9,8,35,1,17,0.512388326,0.006903192,0.207048457,0.653126059,0.069186455,1,0.209302326,0.018867925,0.186046512,0.320754717,TRUE
MED28,ENSG00000118579.7,NM_025205.3,4,F,17616253,17635728,p15.32,2.749113102,2.7076182,TRUE,28,9,6,37,1,15,0.957244394,0.006903192,0.149056932,0.975548424,0.069186455,1,0.209302326,0.018867925,0.139534884,0.283018868,TRUE
MITF,ENSG00000187098.10,NM_198158.2,3,F,69788585,70017488,p14.1,0.955331433,0.431889487,TRUE,19,9,15,29,1,22,4.62E-06,0.006903192,0.650942419,0.000286476,0.069186455,1,0.209302326,0.018867925,0.348837209,0.41509434,TRUE
MLH1,ENSG00000076242.10,NM_000249.3,3,F,37034822,37107380,p22.2,2.877093489,2.643723252,TRUE,24,7,12,30,0,23,0.16834426,0.007908239,0.175492058,0.301872984,0.069186455,1,0.162790698,0,0.279069767,0.433962264,TRUE
MYD88,ENSG00000172936.8,NM_002468.4,3,F,38179968,38184513,p22.2,3.056173282,2.583923811,TRUE,24,7,12,31,0,22,0.144471537,0.007908239,0.241520153,0.269548924,0.069186455,1,0.162790698,0,0.279069767,0.41509434,TRUE
PDE3B,ENSG00000152270.4,NM_000922.3,11,F,14665268,14892350,p15.2,1.959026034,1.360271508,TRUE,19,9,15,31,1,21,0.013488491,0.006903192,0.791036745,0.050790723,0.069186455,1,0.209302326,0.018867925,0.348837209,0.396226415,TRUE
PLXNB2,ENSG00000196576.10,NM_012401.3,22,R,50713407,50746056,q13.33,5.000317857,4.837638587,TRUE,21,14,8,36,4,13,0.434820392,0.004246592,0.652762801,0.583615095,0.069186455,1,0.325581395,0.075471698,0.186046512,0.245283019,TRUE
PPARG,ENSG00000132170.15,NM_015869.4,3,F,12328866,12475855,p25.2,0.947692236,0.739024069,TRUE,19,9,15,32,1,20,0.043910492,0.006903192,0.939807701,0.116136353,0.069186455,1,0.209302326,0.018867925,0.348837209,0.377358491,TRUE
PSMA1,ENSG00000129084.13,,11,R,14515328,14665181,p15.2,4.199891218,3.791337925,TRUE,21,9,13,31,1,21,0.03939854,0.006903192,0.458053865,0.10765992,0.069186455,1,0.209302326,0.018867925,0.302325581,0.396226415,TRUE
RAD21,ENSG00000164754.8,NM_006265.2,8,R,117858173,117887105,q24.11,4.679370808,4.706566227,TRUE,10,7,26,14,0,39,0.957244394,0.007908239,0.251123787,0.975548424,0.069186455,1,0.162790698,0,0.604651163,0.735849057,TRUE
RAF1,ENSG00000132155.7,NM_002880.3,3,R,12625099,12705725,p25.2,3.73335226,3.472039212,TRUE,19,9,15,31,1,21,0.053510316,0.006903192,0.791036745,0.134258128,0.069186455,1,0.209302326,0.018867925,0.348837209,0.396226415,TRUE
RUNX1,ENSG00000159216.14,,21,R,36160097,37376965,q22.12,2.348103355,1.074797509,TRUE,24,7,12,31,0,22,0.000256359,0.007908239,0.241520153,0.00356821,0.069186455,1,0.162790698,0,0.279069767,0.41509434,TRUE
SLC45A3,ENSG00000158715.5,NM_033102.2,1,R,205626978,205649587,q32.1,4.237326466,2.541064791,TRUE,16,7,20,21,0,32,0.057671067,0.007908239,0.250173976,0.140662401,0.069186455,1,0.162790698,0,0.465116279,0.603773585,TRUE
SLC4A4,ENSG00000080493.9,NM_001098484.2,4,F,72053002,72437804,q13.3,2.094726042,1.041935111,TRUE,24,9,10,30,1,22,0.116540045,0.006903192,0.095125027,0.231052146,0.069186455,1,0.209302326,0.018867925,0.23255814,0.41509434,TRUE
SNTB1,ENSG00000172164.9,NM_021021.3,8,R,121547984,121825513,q24.12,1.866524197,1.296964082,TRUE,10,7,26,14,0,39,0.046321213,0.007908239,0.251123787,0.120667266,0.069186455,1,0.162790698,0,0.604651163,0.735849057,TRUE
SPOP,ENSG00000121067.13,NM_001007229.1,17,R,47676245,47755596,q21.33,2.748204038,2.449134754,TRUE,22,7,14,30,0,23,0.011083945,0.007908239,0.382032515,0.044157081,0.069186455,1,0.162790698,0,0.325581395,0.433962264,TRUE
SRGAP1,ENSG00000196935.4,NM_020762.2,12,F,64238072,64541613,q14.2,1.19636161,1.721199669,TRUE,24,7,12,32,0,21,0.048839558,0.007908239,0.324240724,0.125070023,0.069186455,1,0.162790698,0,0.279069767,0.396226415,TRUE
SUV420H1,ENSG00000110066.10,NM_017635.3,11,R,67922329,67981295,q13.2,2.99367619,2.616768181,TRUE,19,9,15,24,1,28,0.007380723,0.006903192,0.120656429,0.033492251,0.069186455,1,0.209302326,0.018867925,0.348837209,0.528301887,TRUE
TAF2,ENSG00000064313.7,NM_003184.3,8,R,120743014,120845103,q24.12,2.763170619,2.426496235,TRUE,11,7,25,14,0,39,0.031521395,0.007908239,0.167985031,0.092171136,0.069186455,1,0.162790698,0,0.581395349,0.735849057,TRUE
TAOK2,ENSG00000149930.13,NM_004783.3,16,F,29984961,30003582,p11.2,3.069276068,2.927168624,TRUE,20,9,14,30,1,22,0.132752181,0.006903192,0.490881216,0.253678391,0.069186455,1,0.209302326,0.018867925,0.325581395,0.41509434,TRUE
TBX3,ENSG00000135111.10,NM_016569.3,12,R,115108058,115121969,q24.21,4.458821357,1.851620608,TRUE,19,11,13,31,2,20,1.35E-05,0.005024986,0.57981315,0.00055749,0.069186455,1,0.255813953,0.037735849,0.302325581,0.377358491,TRUE
TNRC6B,ENSG00000100354.16,NM_001024843.1,22,F,40440820,40731812,q13.1,2.395011558,2.081299238,TRUE,23,12,8,33,3,17,0.296307633,0.006879146,0.207048457,0.444695168,0.069186455,1,0.279069767,0.056603774,0.186046512,0.320754717,TRUE
TRIOBP,ENSG00000100106.15,,22,F,38093010,38172563,q13.1,2.172290616,2.009821488,TRUE,23,12,8,32,3,18,0.163477827,0.006879146,0.146252469,0.293775275,0.069186455,1,0.279069767,0.056603774,0.186046512,0.339622642,TRUE
TSC2,ENSG00000103197.12,NM_000548.3,16,F,2097465,2138716,p13.3,3.46503375,3.485500503,TRUE,19,9,15,24,1,28,0.991445036,0.006903192,0.120656429,0.994896087,0.069186455,1,0.209302326,0.018867925,0.348837209,0.528301887,TRUE
TTC18,ENSG00000156042.13,NM_145170.3,10,R,75013516,75118617,q22.2,1.38396447,1.08159466,TRUE,23,11,9,30,2,21,0.069769961,0.005024986,0.081245819,0.16075479,0.069186455,1,0.255813953,0.037735849,0.209302326,0.396226415,TRUE
TTL,ENSG00000114999.7,NM_153712.4,2,F,113239730,113299316,q13,1.251932893,1.839530378,TRUE,24,7,12,38,0,15,7.22E-05,0.007908239,1,0.001569929,0.069186455,1,0.162790698,0,0.279069767,0.283018868,TRUE
WDR90,ENSG00000161996.13,,16,F,699310,717833,p13.3,2.525192176,3.11303355,TRUE,19,9,15,26,1,26,0.007895829,0.006903192,0.234610955,0.035200079,0.069186455,1,0.209302326,0.018867925,0.348837209,0.490566038,TRUE
WIF1,ENSG00000156076.5,NM_007191.4,12,R,65444405,65515346,q14.3,0.923165649,1.730106328,TRUE,24,7,12,32,0,21,0.584064939,0.007908239,0.324240724,0.712463366,0.069186455,1,0.162790698,0,0.279069767,0.396226415,TRUE
WT1,ENSG00000184937.8,NM_024424.3,11,R,32409320,32457176,p13,0.187451758,0.085911907,FALSE,20,9,14,34,1,18,0.144471537,0.006903192,1,0.269548924,0.069186455,1,0.209302326,0.018867925,0.325581395,0.339622642,TRUE
EP300,ENSG00000100393.9,NM_001429.3,22,F,41487789,41576081,q13.2,3.7042417,3.187010352,TRUE,22,13,8,32,4,17,0.005149748,0.008623598,0.207048457,0.026199,0.073609156,1,0.302325581,0.075471698,0.186046512,0.320754717,TRUE
NF2,ENSG00000186575.13,NM_181831.2,22,F,29999544,30094587,q12.2,2.547325933,2.224916289,TRUE,20,13,10,34,4,15,0.08070182,0.008623598,0.744128033,0.178391221,0.073609156,1,0.302325581,0.075471698,0.23255814,0.283018868,TRUE
PHOX2B,ENSG00000109132.5,NM_003924.3,4,R,41746098,41750987,p13,0.01011915,0.011500882,FALSE,22,13,8,33,4,16,0.755755414,0.008623598,0.286214902,0.842399429,0.073609156,1,0.302325581,0.075471698,0.186046512,0.301886792,TRUE
RASGRF2,ENSG00000113319.7,NM_006909.2,5,F,80256490,80525975,q14.1,0.678482659,0.647835437,TRUE,21,13,9,28,4,21,0.4036031,0.008623598,0.081245819,0.555348293,0.073609156,1,0.302325581,0.075471698,0.209302326,0.396226415,TRUE
ALDH1B1,ENSG00000137124.6,NM_000692.4,9,F,38392660,38398658,p13.2,2.567280966,2.242604256,TRUE,18,10,15,28,2,23,0.184263373,0.010469274,0.523292119,0.319976198,0.080182273,1,0.23255814,0.037735849,0.348837209,0.433962264,TRUE
CLTCL1,ENSG00000070371.11,NM_007098.3,22,R,19166985,19279239,q11.21,1.102605369,1.086077069,TRUE,25,10,8,34,2,17,0.991445036,0.010469274,0.207048457,0.994896087,0.080182273,1,0.23255814,0.037735849,0.186046512,0.320754717,TRUE
DMXL2,ENSG00000104093.9,NM_001174116.1,15,R,51739907,51915030,q21.2,2.671944625,2.735924411,TRUE,26,10,7,35,2,16,0.772127663,0.010469274,0.17785759,0.853845928,0.080182273,1,0.23255814,0.037735849,0.162790698,0.301886792,TRUE
DYSF,ENSG00000135636.9,NM_001130976.1,2,F,71680851,71913898,p13.2,2.113810234,1.335423407,TRUE,20,10,13,35,2,16,0.020901416,0.010469274,1,0.069079596,0.080182273,1,0.23255814,0.037735849,0.302325581,0.301886792,TRUE
FANCG,ENSG00000221829.5,NM_004629.1,9,R,35073831,35080013,p13.3,1.958329082,2.693596421,TRUE,19,10,14,28,2,23,0.001236499,0.010469274,0.382032515,0.009977464,0.080182273,1,0.23255814,0.037735849,0.325581395,0.433962264,TRUE
FOXP1,ENSG00000114861.14,NM_001012505.1,3,R,71003843,71633140,p13,2.958497609,1.994085315,TRUE,19,10,14,28,2,22,0.000374045,0.010469274,0.490881216,0.004622156,0.080182273,1,0.23255814,0.037735849,0.325581395,0.41509434,TRUE
